Title,Price,Location,Date,Link
107 Gaj home with covered car parking near by main market,"₹ 45,00,000","JAWAHAR COLONY, FARIDABAD",Date not available,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-900-sq-ft-in-jawahar-colony-faridabad-iid-1789276286
2BHK Flat at shivane with covered car parking Brand new condition,"₹ 37,99,000","SHIVANE, PUNE",Date not available,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1100-sq-ft-in-shivane-pune-iid-1803879123
Covered car parking for sale (negotiable),"₹ 10,00,000","SUBHASPALLY, SILIGURI",Date not available,https://www.olx.in/item/for-sale-shops-offices-c1733-168-sq-ft-in-subhaspally-siliguri-iid-1805786910
UV Proof All Weather Car Cover Compatible with Mercedes Benz C-Cla...,Price not available,"PAREL, MUMBAI",Date not available,https://www.olx.in/item/other-services-c625-uv-proof-all-weather-car-cover-compatible-with-mercedes-benz-c-cla-in-parel-mumbai-iid-1807231113
Waterproof Car Body Cover Compatible All Weather Protection With Tr...,"₹ 1,399","PAREL, MUMBAI",Date not available,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-parel-mumbai-iid-1807230650
2bhk semi furnished with covered car parking flat availble for rent,"₹ 22,500","DHANORI, PUNE",Date not available,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-890-sq-ft-in-dhanori-pune-iid-1806761349
Brembo brake caliper covers all colours available for all cars,₹ 699,"BEGUMPET, HYDERABAD",Date not available,https://www.olx.in/item/spare-parts-c1585-brembo-brake-caliper-covers-all-colours-available-for-all-cars-in-begumpet-hyderabad-iid-1805724400
Defander car stepni cover,"₹ 15,000","ASHOK VIHAR, DELHI",Date not available,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-ashok-vihar-delhi-iid-1669544151
Family used 2011 manza diesel car full cover insurance (idv 262000),"₹ 1,79,999","M.G.ROAD, THRISSUR",Date not available,https://www.olx.in/item/cars-c84-used-tata-manza-in-mgroad-thrissur-iid-1807207480
Car seat cover wooden bead balls,₹ 499,"DANI LIMDA, AHMEDABAD",Date not available,https://www.olx.in/item/other-household-items-c293-car-seat-cover-wooden-bead-balls-in-dani-limda-ahmedabad-iid-1805504221
2.5 years old lift covered car parking,"₹ 17,000","PARK TOWN, MADURAI",Date not available,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-875-sq-ft-in-park-town-madurai-iid-1804588955
Honda Amaze 2013 2new Tyres Android new system New Seat cover,"₹ 3,75,000","ADAT, KERALA",Date not available,https://www.olx.in/item/cars-c84-used-honda-amaze-in-adat-kerala-iid-1807189105
Duplex house with covered Car parking,"₹ 53,00,000","GUDUVANCHERY, CHENNAI",Date not available,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-1300-sq-ft-in-guduvanchery-chennai-iid-1807173986
Maruti Car Rim+FREE Wheel Cover,"₹ 1,100","SECTOR 120, NOIDA",Date not available,https://www.olx.in/item/spare-parts-c1585-wheels-tyres-in-sector-120-noida-iid-1805660953
75 Gaj newly constructed home with covered car parking,"₹ 33,00,001","NANGLA GURJAN, FARIDABAD",Date not available,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-750-sq-ft-in-nangla-gurjan-faridabad-iid-1802577846
2BHK FLAT SALE Magnolia Fantasia with covered car parking No broaker,"₹ 26,90,000","BARASAT- BARRACKPORE ROAD, KOLKATA",Date not available,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-689-sq-ft-in-barasat-barrackpore-road-kolkata-iid-1791888291
2bhk in 50lacs with Covered car parking in Ravet,"₹ 50,00,000","RAVET, PUNE",Date not available,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-877-sq-ft-in-ravet-pune-iid-1807154093
2bhk flat rent family car parking covered om soc katraj,"₹ 17,500","KATRAJ, PUNE",Date not available,https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-915-sq-ft-in-katraj-pune-iid-1807134293
clean and pure original car with insurence covered,"₹ 5,70,000","VICTORIYA POOL, MANDI",Date not available,https://www.olx.in/item/cars-c84-used-honda-amaze-in-victoriya-pool-mandi-iid-1804409599
Car seat covers floor Matt and steding covers available stching ftin,"₹ 3,600","HYDERGUDA, HYDERABAD",Date not available,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-hyderguda-hyderabad-iid-1695988038
Newly build 75 Sq yards home with covered car parking,"₹ 33,00,111","DABUA COLONY, FARIDABAD",Date not available,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-680-sq-ft-in-dabua-colony-faridabad-iid-1806490193
Car seat cover vsp,"₹ 4,200","SEETAMMA PETA, VISAKHAPATNAM",Date not available,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-seetamma-peta-visakhapatnam-iid-1804345294
Car Seat Covers del,"₹ 3,800","TEEN MURTI MARG AREA, DELHI",Date not available,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-teen-murti-marg-area-delhi-iid-1804756254
Pioneer Car Stereo control panel+case+remote+Sony Xplod speaker cover,"₹ 3,600","GARHI HARSARU, GURGAON",Date not available,https://www.olx.in/item/spare-parts-c1585-pioneer-car-stereo-control-panelcaseremotesony-xplod-speaker-cover-in-garhi-harsaru-gurgaon-iid-1804737204
Wagonr car cover 2015 model,₹ 333,"LAJPAT NAGAR, JAIPUR",Date not available,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-lajpat-nagar-jaipur-iid-1807127666
Covered car parking with gate available on rent,"₹ 4,000","MANGALWAR PETH, PUNE",Date not available,https://www.olx.in/item/for-rent-houses-apartments-c1723-apartments-100-sq-ft-in-mangalwar-peth-pune-iid-1807127306
2Bhk flats with covered car parking,"₹ 42,00,000","PERUNGALATTUR, TAMBARAM",Date not available,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-834-sq-ft-in-perungalattur-tambaram-iid-1805393637
3BHK South Open Flat with Covered Car Parking,"₹ 40,00,000","BAMUNARA, DURGAPUR",Date not available,https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1555-sq-ft-in-bamunara-durgapur-iid-1807108365
Only 27k kms covered fully company serviced with loaded features,"₹ 8,70,000","PALLIKARANAI NARAYANAPURAM, CHENNAI",Date not available,https://www.olx.in/item/cars-c84-used-honda-city-in-pallikaranai-narayanapuram-chennai-iid-1806140833
All type car seat cover manufacturing.. available at reasonable prices,Price not available,"PALTA, KOLKATA",Date not available,https://www.olx.in/item/other-services-c625-all-type-car-seat-cover-manufacturing-available-at-reasonable-prices-in-palta-kolkata-iid-1805085792
2bhk for sale with furniture & covered Car parking,"₹ 34,00,000","PISOLI, PUNE",Date not available,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-873-sq-ft-in-pisoli-pune-iid-1805650393
Baleno 2025 car original new seat cover set,"₹ 3,500","TOLICHOWKI, HYDERABAD",Date not available,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-tolichowki-hyderabad-iid-1807073615
Car Cover and Steering pump,"₹ 5,500","PARDHASARDI NAGAR, MANDAPETA",Date not available,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-pardhasardi-nagar-mandapeta-iid-1807070098
All Car seat covers starting covers full mat available,"₹ 5,000","BV NAGAR NEAR AC NAGAR, NELLORE",Date not available,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-bv-nagar-near-ac-nagar-nellore-iid-1807067829
Car cover A 2XL,₹ 699,"MANNS COMPOUND, MADIKERI",Date not available,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-manns-compound-madikeri-iid-1807063852
Triber Car Cover,₹ 600,"KOLANGATTUKKARA, THRISSUR",Date not available,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-kolangattukkara-thrissur-iid-1807057385
75 gaj home with covered car parking near sohna road highway,"₹ 33,00,100","JAWAHAR COLONY, FARIDABAD",Date not available,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-713-sq-ft-in-jawahar-colony-faridabad-iid-1787652614
Car Seat Cover (Swift),₹ 500,"THERGAON, PUNE",Date not available,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-thergaon-pune-iid-1800567882
Kia Sonet Car Cover with Mirror & Antena Pocket Waterproof,"₹ 1,250","PULIAKULAM, COIMBATORE",Date not available,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-puliakulam-coimbatore-iid-1807041690
Ecco car cover,"₹ 1,500","OMEX CITY, LUCKNOW",Date not available,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-omex-city-lucknow-iid-1805895660
1 bhk with cover car parking and master bedroom,"₹ 14,55,000","RATA, VAPI",Date not available,https://www.olx.in/item/for-sale-houses-apartments-c1725-1-bhk-apartments-705-sq-ft-in-rata-vapi-iid-1806769879
"2BHK, Covered Car Parking, Lift, Trustpuram","₹ 60,000","KODAMBAKKAM TRUSTPURAM, CHENNAI",Date not available,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1079-sq-ft-in-kodambakkam-trustpuram-chennai-iid-1800487903
4CENT 3BHK TWO COVERED CAR PARKING POSH VILLA FOR SALE IN ELAMAKKARA,"₹ 95,00,000","ELAMAKKARA, KOCHI",Date not available,https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-houses-villas-1700-sq-ft-in-elamakkara-kochi-iid-1796642316
3Bhk flat with covered car parking Double height for sale,"₹ 95,00,000","AMBEGAON, PUNE",Date not available,https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1544-sq-ft-in-ambegaon-pune-iid-1786873409
Full save car with new teyars with sit covers all documents okay,"₹ 1,30,000","KHWAS KHAN, JAMMU",Date not available,https://www.olx.in/item/cars-c84-used-hyundai-i10-in-khwas-khan-jammu-iid-1807007157
3 BHK luxury independent floor with lift covered car parking,"₹ 44,99,999","GOVINDPURAM, GHAZIABAD",Date not available,https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-builder-floors-1350-sq-ft-in-govindpuram-ghaziabad-iid-1787565848
car seat covers,"₹ 3,500","PAMMAL ANNA NAGAR, CHENNAI",Date not available,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-pammal-anna-nagar-chennai-iid-1778216028
Eon car foot mat cover,₹ 100,"VIDHYADHAR NAGAR, JAIPUR",Date not available,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-vidhyadhar-nagar-jaipur-iid-1777718674
Car universal 9d seat covers,"₹ 9,999","DWARKA SECTOR 98, DELHI",Date not available,https://www.olx.in/item/spare-parts-c1585-car-universal-9d-seat-covers-in-dwarka-sector-98-delhi-iid-1800676552
Amaze excellent like new tyre and seat cover,"₹ 5,55,000","MTS NAGAR, JALANDHAR",Date not available,https://www.olx.in/item/cars-c84-used-honda-amaze-in-mts-nagar-jalandhar-iid-1806975868
3BHK Premium Apartment with Covered Car Parking - at Padur.,"₹ 70,00,000","NAVALUR, CHENNAI",Date not available,https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-918-sq-ft-in-navalur-chennai-iid-1804389776
"Brand New car , auto form seat cover , original Back camera","₹ 8,50,000","ASHOKA NIKETAN, DELHI",Date not available,https://www.olx.in/item/cars-c84-used-maruti-suzuki-swift-dzire-in-ashoka-niketan-delhi-iid-1806960197
Car cover for urgent sale,"₹ 1,200","NEHRU ROAD, MUMBAI",Date not available,https://www.olx.in/item/spare-parts-c1585-car-cover-for-urgent-sale-in-nehru-road-mumbai-iid-1806960036
Car body cover,"₹ 28,500","MODEL TOWN, REWARI",Date not available,https://www.olx.in/item/cars-c84-used-kia-syros-in-model-town-rewari-iid-1806959050
A 800 SQFT FURNISHED 1BHK FLAT COVERED CAR PARK AVAILABLE FOR RENT,"₹ 40,000","VIMAN NAGAR, PUNE",Date not available,https://www.olx.in/item/for-rent-shops-offices-c1731-800-sq-ft-in-viman-nagar-pune-iid-1804964379
Swift car seat cover vsp,"₹ 3,800","SEETAMMA PETA, VISAKHAPATNAM",Date not available,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-seetamma-peta-visakhapatnam-iid-1806934069
* Honda Amaze 2015 Petrol Well Maintained *new seat cover,"₹ 4,45,000","KOYILANDY, KOZHIKODE",Date not available,https://www.olx.in/item/cars-c84-used-honda-amaze-in-koyilandy-kozhikode-iid-1806929193
Newly constructed luxury independent house with covered car parking,"₹ 12,000","NACHIKURICHI, TIRUCHIRAPPALLI",Date not available,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-houses-villas-1700-sq-ft-in-nachikurichi-tiruchirappalli-iid-1800629924
2bhk attached first floor with covered car parking,"₹ 14,000","MANACAUD, THIRUVANANTHAPURAM",Date not available,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-houses-villas-1800-sq-ft-in-manacaud-thiruvananthapuram-iid-1805132334
"Car Accessories door Visor, Wheel cover, chrome item for sale",₹ 499,"SIMILIPADA, ANUGUL",Date not available,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-similipada-anugul-iid-1806924286
LUXURIOUS CAR SEAT COVER,Price not available,"LB NAGAR, HYDERABAD",Date not available,https://www.olx.in/item/other-services-c625-luxurious-car-seat-cover-in-lb-nagar-hyderabad-iid-1806923324
Ecco car cover,"₹ 1,500","OMEX CITY, LUCKNOW",Date not available,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-omex-city-lucknow-iid-1804468000
All cars side mirror batman cover abs plastic piano black,"₹ 2,499","GANGTOK PRIVATE ESTATE, GANGTOK",Date not available,https://www.olx.in/item/spare-parts-c1585-all-cars-side-mirror-batman-cover-abs-plastic-piano-black-in-gangtok-private-estate-gangtok-iid-1804943156
All cars side mirror cover batman style abs plastic piano black,"₹ 2,500","ANNA NAGAR, MADURAI",Date not available,https://www.olx.in/item/spare-parts-c1585-all-cars-side-mirror-cover-batman-style-abs-plastic-piano-black-in-anna-nagar-madurai-iid-1802991925
CAR SEAT COVER,"₹ 1,100","AYATHIL, KOLLAM",Date not available,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-ayathil-kollam-iid-1806904918
Ready to move with covered car parking 3bhk available for sale,"₹ 37,56,000","SURAJPUR, GREATER NOIDA",Date not available,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1020-sq-ft-in-surajpur-greater-noida-iid-1806902543
Brand new car back seat cover for dogs,₹ 500,"ARAKERE, BENGALURU",Date not available,https://www.olx.in/item/pet-food-accessories-c175-brand-new-car-back-seat-cover-for-dogs-in-arakere-bengaluru-iid-1806900826
LEATHER CAR SEAT COVER,"₹ 5,500","SHEELA NAGAR, VISAKHAPATNAM",Date not available,https://www.olx.in/item/mobile-phones-c1453-used-other-mobiles-in-sheela-nagar-visakhapatnam-iid-1801041969
2BHK flat with small car covered parking available for rent for family,"₹ 11,000","BUXI BAZAAR, CUTTACK",Date not available,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1100-sq-ft-in-buxi-bazaar-cuttack-iid-1806889727
CAR COVER NEW SEALED PEACE (#MARUTI S PRESSO ),₹ 800,"KONKAPALLI, AMALAPURAM",Date not available,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-konkapalli-amalapuram-iid-1806888761
Nirman Aura 2 BHK Semi furnished flat with covered car parking sale,"₹ 69,00,000","AMBEGAON, PUNE",Date not available,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-920-sq-ft-in-ambegaon-pune-iid-1806884319
Rent 2bhk flat with balcony and covered car parking at Velachery,"₹ 17,000","VELACHERI, CHENNAI",Date not available,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-800-sq-ft-in-velacheri-chennai-iid-1806883825
A 5000 SQFT COMMERCIAL OFFICE SPACE WITH COVERED CAR PARK FOR RENT,"₹ 3,00,000","VIMAN NAGAR, PUNE",Date not available,https://www.olx.in/item/for-rent-shops-offices-c1731-5000-sq-ft-in-viman-nagar-pune-iid-1805302317
Spacious 2bhk Flat For Sale Fully furnished with Covered car parking,"₹ 37,90,000","SECTOR 116, MOHALI",Date not available,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1125-sq-ft-in-sector-116-mohali-iid-1804814625
"Lift , Covered Car parking , CCTV facility, Gated Community","₹ 54,16,500","THORAIPAKKAM, CHENNAI",Date not available,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-942-sq-ft-in-thoraipakkam-chennai-iid-1790552159
All cars side mirror cover abs plastic piano black batman style,"₹ 2,500","DWARKA SECTOR 98, DELHI",Date not available,https://www.olx.in/item/spare-parts-c1585-all-cars-side-mirror-cover-abs-plastic-piano-black-batman-style-in-dwarka-sector-98-delhi-iid-1800587295
A 1350 SQFT FURNISHED 2BHK FLAT WITH COVERED CAR PARK AVAIL FOR RENT,"₹ 75,000","VIMAN NAGAR, PUNE",Date not available,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1350-sq-ft-in-viman-nagar-pune-iid-1805288003
All Maruthi Seat cover car stereo,"₹ 1,000","PANAMARAM, WAYANAD",Date not available,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-panamaram-wayanad-iid-1796086514
Car seat cover blr,"₹ 3,800","HANUMANTHA NAGAR, BENGALURU",Date not available,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-hanumantha-nagar-bengaluru-iid-1806861390
1 BHK flat for sale in Bhumi Silverio with covered car parking,"₹ 35,00,000","CHIKHALI, PUNE",Date not available,https://www.olx.in/item/for-sale-houses-apartments-c1725-1-bhk-apartments-646-sq-ft-in-chikhali-pune-iid-1805925948
MLCP Covered Garage Car Parking Space inside HG1 with CCTV@2500/-,"₹ 10,000","MAHESHTALA, KOLKATA",Date not available,https://www.olx.in/item/lands-plots-c1729-for-rent-176-sq-yd-in-maheshtala-kolkata-iid-1806841203
Front side 4 Bed with Covered Car Parking & Lift in Indirapuram,"₹ 1,25,50,000","INDIRAPURAM, GHAZIABAD",Date not available,https://www.olx.in/item/for-sale-houses-apartments-c1725-4-bhk-builder-floors-2000-sq-ft-in-indirapuram-ghaziabad-iid-1782657383
3Bed with Covered Car Parking and Lift in Shakti Khand-4,"₹ 1,29,00,000","INDIRAPURAM SHAKTI KHAND 4, GHAZIABAD",Date not available,https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-builder-floors-1450-sq-ft-in-indirapuram-shakti-khand-4-ghaziabad-iid-1761656783
2Bed with Covered Car Parking in Vaishali sec-5,"₹ 65,00,000","VAISHALI SECTOR 5, GHAZIABAD",Date not available,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-builder-floors-1125-sq-ft-in-vaishali-sector-5-ghaziabad-iid-1754359223
2bhk with separate covered car parking.,"₹ 32,00,000","KOPRE, PUNE",Date not available,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-815-sq-ft-in-kopre-pune-iid-1803079489
"Car Cover for alto, eon",₹ 500,"SHYAMBANDH, ASANSOL MC",Date not available,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-shyambandh-asansol-mc-iid-1806822064
2BHK DOUBLE TOILET balcony ground floor unused with cover car parking,"₹ 34,00,000","SHIBRAMPUR, KOLKATA",Date not available,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-980-sq-ft-in-shibrampur-kolkata-iid-1806355845
Flat for Sale- spacious 2 BHK with private garden& covered car parking,"₹ 77,00,000","KADMA, JAMSHEDPUR",Date not available,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1350-sq-ft-in-kadma-jamshedpur-iid-1806809008
Fully furnished 2bhk with covered car parking for sale,"₹ 57,00,000","BHOSARI SHANTINAGAR VASTI, PUNE",Date not available,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-908-sq-ft-in-bhosari-shantinagar-vasti-pune-iid-1804410912
Hyundai grant i10 used car cover,₹ 700,"KK NAGAR, CHENNAI",Date not available,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-kk-nagar-chennai-iid-1806800003
Protection Cover from Monkey and Dog for Car,"₹ 1,300","IFFCO CHOWK, GURGAON",Date not available,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-iffco-chowk-gurgaon-iid-1804804653
Seltos Car cover unused,"₹ 2,400","SECTOR 35D, CHANDIGARH",Date not available,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-sector-35d-chandigarh-iid-1804632609
2 bhk 1st floor flat with covered car parking adjoining panchkula,"₹ 32,50,000","SAINI VIHAR, ZIRAKPUR",Date not available,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1000-sq-ft-in-saini-vihar-zirakpur-iid-1806779782
BRAND NEW TYRES BATTERY SEAT COVER TOUCH SCREEN SYSTEM,"₹ 2,25,000","WADALA EAST, MUMBAI",Date not available,https://www.olx.in/item/cars-c84-used-honda-city-in-wadala-east-mumbai-iid-1806777044
"Lift,kids play area,power backup,covered car parking","₹ 36,000","MANAYATA TECH PARK, BENGALURU",Date not available,https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-2100-sq-ft-in-manayata-tech-park-bengaluru-iid-1806770395
All Type of Car body cover,"₹ 1,600","PUDUPAKKAM, CHENNAI",Date not available,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-pudupakkam-chennai-iid-1806764263
Skoda rapid car cover,"₹ 1,000","SAHAKARA NAGAR, BENGALURU",Date not available,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-sahakara-nagar-bengaluru-iid-1806757498
Spacious 1.5 BHK flat with covered car parking for rent for family,"₹ 11,000","MARUNJI, PUNE",Date not available,https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-houses-villas-800-sq-ft-in-marunji-pune-iid-1806499022
